run,n_roi,ROI,lesion,breast,patient
cv_mass_twostream_officialsplit_oof_1seed.csv,378,0.8769031422092647,0.9043272481406356,0.9021176470588236,0.9042596348884381
cv_mass_twostream,378,0.8769031422092647,0.9043272481406356,0.9021176470588236,0.9042596348884381
cv_mass_twostream_officialsplit_oof_cvmasks.csv,378,0.8694525429219307,0.9003549695740365,0.8955294117647059,0.897160243407708
cv_mass_twostream_calcpre_officialsplit_oof_cvmasks.csv,378,0.8659775598551108,0.8914807302231238,0.8862117647058824,0.8903651115618662
cv_mass_twostream_calcpre,378,0.8582030214683276,0.8867478025693036,0.8798117647058824,0.8841784989858013
nomask_twostream,378,0.8570545101157346,0.8815922920892495,0.8746352941176472,0.8797160243407708
cv_mass,378,0.848013664340195,0.871450304259635,0.8655058823529412,0.8662271805273833
cv_mass_efficientnet_b0,378,0.8445386812733753,0.8693373901284651,0.864,0.8616632860040568
cv_mass_officialsplit_oof_cvmasks.csv,378,0.8441558441558441,0.8651960784313726,0.8574117647058824,0.8572008113590264
cv_mass_endtoend,378,0.819359778543452,0.8526031102096011,0.8489411764705882,0.8522312373225154
cv_mass_endtoend_fused,378,0.819183084489207,0.8422920892494927,0.837364705882353,0.8424949290060852
cv_mass_imageonly,378,0.7994227994227996,0.8092461122379987,0.7976470588235295,0.7964503042596349
cv_mass_handcrafted,378,0.6781223311835558,0.6806964164976336,0.6776470588235294,0.6877281947261662
