model,ckpt,n,auc,ci_lo,ci_hi,thr,acc,bal,f1,prec,rec,spec,TN,FP,FN,TP
cbis_mass,cls_sep_cbis_mass.pth,378,0.8120858733103631,0.7622405547197691,0.8582267703474157,0.565,0.7592592592592593,0.751082251082251,0.6976744186046512,0.6818181818181818,0.7142857142857143,0.7878787878787878,182,49,42,105
cbis_calc,cls_calc_speck.pth,326,0.7705898555857239,0.7209844786061891,0.8216210504920202,0.565,0.6717791411042945,0.6735725809624995,0.6219081272084805,0.5714285714285714,0.6821705426356589,0.6649746192893401,131,66,41,88
inbreast,cls_sep_inbreast.pth,75,0.9405458089668617,0.8871245093019287,0.9840251670843776,0.48499999999999993,0.8133333333333334,0.8581871345029239,0.7083333333333334,0.5666666666666667,0.9444444444444444,0.7719298245614035,44,13,1,17
