lesion,aux,n,auc,thr,acc,bal,f1,prec,rec,spec,TN,FP,FN,TP
mass,False,378,0.8324056895485467,0.5599999999999999,0.7619047619047619,0.7458256029684601,0.6875,0.7021276595744681,0.673469387755102,0.8181818181818182,189,42,48,99
mass,True,378,0.8223635774656182,0.49999999999999994,0.746031746031746,0.7439703153988868,0.6923076923076923,0.6545454545454545,0.7346938775510204,0.7532467532467533,174,57,39,108
calcification,False,326,0.7121945460984536,0.5299999999999999,0.6134969325153374,0.641404005823791,0.6134969325153374,0.5076142131979695,0.7751937984496124,0.5076142131979695,100,97,29,100
calcification,True,326,0.7757053476567111,0.5099999999999999,0.656441717791411,0.697005469641522,0.672514619883041,0.539906103286385,0.8914728682170543,0.5025380710659898,99,98,14,115
