thr,TN,FP,FN,TP,recall,spec,prec,npv,acc,bal,f1
0.05,22,175,0,129,1.0,0.1116751269035533,0.4243421052631579,1.0,0.46319018404907975,0.5558375634517767,0.5958429561200924
0.055,23,174,0,129,1.0,0.116751269035533,0.42574257425742573,1.0,0.4662576687116564,0.5583756345177665,0.5972222222222222
0.06,24,173,0,129,1.0,0.1218274111675127,0.4271523178807947,1.0,0.46932515337423314,0.5609137055837563,0.5986078886310905
0.065,25,172,0,129,1.0,0.12690355329949238,0.42857142857142855,1.0,0.4723926380368098,0.5634517766497462,0.6
0.07,26,171,0,129,1.0,0.1319796954314721,0.43,1.0,0.4754601226993865,0.565989847715736,0.6013986013986014
0.075,27,170,0,129,1.0,0.13705583756345177,0.431438127090301,1.0,0.4785276073619632,0.5685279187817259,0.602803738317757
0.08,27,170,0,129,1.0,0.13705583756345177,0.431438127090301,1.0,0.4785276073619632,0.5685279187817259,0.602803738317757
0.08499999999999999,28,169,0,129,1.0,0.14213197969543148,0.43288590604026844,1.0,0.4815950920245399,0.5710659898477157,0.6042154566744731
0.09,28,169,0,129,1.0,0.14213197969543148,0.43288590604026844,1.0,0.4815950920245399,0.5710659898477157,0.6042154566744731
0.095,28,169,0,129,1.0,0.14213197969543148,0.43288590604026844,1.0,0.4815950920245399,0.5710659898477157,0.6042154566744731
0.09999999999999999,28,169,0,129,1.0,0.14213197969543148,0.43288590604026844,1.0,0.4815950920245399,0.5710659898477157,0.6042154566744731
0.105,29,168,0,129,1.0,0.14720812182741116,0.43434343434343436,1.0,0.48466257668711654,0.5736040609137056,0.6056338028169014
0.10999999999999999,30,167,0,129,1.0,0.15228426395939088,0.4358108108108108,1.0,0.48773006134969327,0.5761421319796954,0.6070588235294118
0.11499999999999999,30,167,0,129,1.0,0.15228426395939088,0.4358108108108108,1.0,0.48773006134969327,0.5761421319796954,0.6070588235294118
0.12,31,166,0,129,1.0,0.15736040609137056,0.43728813559322033,1.0,0.49079754601226994,0.5786802030456852,0.6084905660377359
0.12499999999999999,31,166,0,129,1.0,0.15736040609137056,0.43728813559322033,1.0,0.49079754601226994,0.5786802030456852,0.6084905660377359
0.13,31,166,0,129,1.0,0.15736040609137056,0.43728813559322033,1.0,0.49079754601226994,0.5786802030456852,0.6084905660377359
0.135,31,166,0,129,1.0,0.15736040609137056,0.43728813559322033,1.0,0.49079754601226994,0.5786802030456852,0.6084905660377359
0.13999999999999999,36,161,0,129,1.0,0.18274111675126903,0.44482758620689655,1.0,0.5061349693251533,0.5913705583756346,0.6157517899761337
0.145,38,159,0,129,1.0,0.19289340101522842,0.4479166666666667,1.0,0.5122699386503068,0.5964467005076142,0.6187050359712231
0.14999999999999997,38,159,0,129,1.0,0.19289340101522842,0.4479166666666667,1.0,0.5122699386503068,0.5964467005076142,0.6187050359712231
0.15499999999999997,38,159,0,129,1.0,0.19289340101522842,0.4479166666666667,1.0,0.5122699386503068,0.5964467005076142,0.6187050359712231
0.15999999999999998,38,159,0,129,1.0,0.19289340101522842,0.4479166666666667,1.0,0.5122699386503068,0.5964467005076142,0.6187050359712231
0.16499999999999998,38,159,0,129,1.0,0.19289340101522842,0.4479166666666667,1.0,0.5122699386503068,0.5964467005076142,0.6187050359712231
0.16999999999999998,38,159,0,129,1.0,0.19289340101522842,0.4479166666666667,1.0,0.5122699386503068,0.5964467005076142,0.6187050359712231
0.175,38,159,0,129,1.0,0.19289340101522842,0.4479166666666667,1.0,0.5122699386503068,0.5964467005076142,0.6187050359712231
0.18,38,159,0,129,1.0,0.19289340101522842,0.4479166666666667,1.0,0.5122699386503068,0.5964467005076142,0.6187050359712231
0.185,38,159,0,129,1.0,0.19289340101522842,0.4479166666666667,1.0,0.5122699386503068,0.5964467005076142,0.6187050359712231
0.19,38,159,0,129,1.0,0.19289340101522842,0.4479166666666667,1.0,0.5122699386503068,0.5964467005076142,0.6187050359712231
0.195,38,159,0,129,1.0,0.19289340101522842,0.4479166666666667,1.0,0.5122699386503068,0.5964467005076142,0.6187050359712231
0.19999999999999996,38,159,0,129,1.0,0.19289340101522842,0.4479166666666667,1.0,0.5122699386503068,0.5964467005076142,0.6187050359712231
0.20499999999999996,39,158,0,129,1.0,0.19796954314720813,0.44947735191637633,1.0,0.5153374233128835,0.5989847715736041,0.6201923076923077
