unit,n,floor,system,auc,acc,sens,spec,fn
LESION,223,0.8,S2,0.9043272481406356,0.852017937219731,0.7816091954022989,0.8970588235294118,19
LESION,223,0.8,S3,0.9320486815415822,0.852017937219731,0.8735632183908046,0.8382352941176471,11
LESION,223,0.8,S4,0.9320486815415822,0.8654708520179372,0.8275862068965517,0.8897058823529411,15
LESION,223,0.85,S1,0.9043272481406356,0.820627802690583,0.8390804597701149,0.8088235294117647,14
LESION,223,0.85,S2,0.9043272481406356,0.852017937219731,0.7816091954022989,0.8970588235294118,19
LESION,223,0.85,S3,0.9320486815415822,0.852017937219731,0.8735632183908046,0.8382352941176471,11
LESION,223,0.85,S4,0.9320486815415822,0.8565022421524664,0.8735632183908046,0.8455882352941176,11
LESION,223,0.88,S1,0.9043272481406356,0.8295964125560538,0.8735632183908046,0.8014705882352942,11
LESION,223,0.88,S2,0.9043272481406356,0.8565022421524664,0.8505747126436781,0.8602941176470589,13
LESION,223,0.88,S3,0.9320486815415822,0.852017937219731,0.8735632183908046,0.8382352941176471,11
LESION,223,0.88,S4,0.9320486815415822,0.8475336322869955,0.8735632183908046,0.8308823529411765,11
LESION,223,0.9,S1,0.9043272481406356,0.7982062780269058,0.8735632183908046,0.75,11
LESION,223,0.9,S2,0.9043272481406356,0.8565022421524664,0.8850574712643678,0.8382352941176471,10
LESION,223,0.9,S3,0.9320486815415822,0.8385650224215246,0.8850574712643678,0.8088235294117647,10
LESION,223,0.9,S4,0.9320486815415822,0.852017937219731,0.8850574712643678,0.8308823529411765,10
LESION,223,0.92,S1,0.9043272481406356,0.7802690582959642,0.896551724137931,0.7058823529411765,9
LESION,223,0.92,S2,0.9043272481406356,0.8340807174887892,0.9195402298850575,0.7794117647058824,7
LESION,223,0.92,S3,0.9320486815415822,0.820627802690583,0.9195402298850575,0.7573529411764706,7
LESION,223,0.92,S4,0.9320486815415822,0.8385650224215246,0.896551724137931,0.8014705882352942,9
LESION,223,0.95,S1,0.9043272481406356,0.6995515695067265,0.9540229885057471,0.5367647058823529,4
LESION,223,0.95,S2,0.9043272481406356,0.7847533632286996,0.9540229885057471,0.6764705882352942,4
LESION,223,0.95,S3,0.9320486815415822,0.7982062780269058,0.9540229885057471,0.6985294117647058,4
LESION,223,0.95,S4,0.9320486815415822,0.7982062780269058,0.9540229885057471,0.6985294117647058,4
BREAST,210,0.7,S1,0.9015529411764706,0.8238095238095238,0.8352941176470589,0.816,14
BREAST,210,0.7,S2,0.9015529411764706,0.8380952380952381,0.7647058823529411,0.888,20
BREAST,210,0.7,S3,0.9228235294117647,0.8380952380952381,0.8588235294117647,0.824,12
BREAST,210,0.7,S4,0.9228235294117647,0.8428571428571429,0.7529411764705882,0.904,21
BREAST,210,0.75,S1,0.9015529411764706,0.8238095238095238,0.8352941176470589,0.816,14
BREAST,210,0.75,S2,0.9015529411764706,0.8380952380952381,0.7647058823529411,0.888,20
BREAST,210,0.75,S3,0.9228235294117647,0.8380952380952381,0.8588235294117647,0.824,12
BREAST,210,0.75,S4,0.9228235294117647,0.8428571428571429,0.7529411764705882,0.904,21
BREAST,210,0.8,S1,0.9015529411764706,0.8238095238095238,0.8352941176470589,0.816,14
BREAST,210,0.8,S2,0.9015529411764706,0.8380952380952381,0.7647058823529411,0.888,20
BREAST,210,0.8,S3,0.9228235294117647,0.8380952380952381,0.8588235294117647,0.824,12
BREAST,210,0.8,S4,0.9228235294117647,0.8428571428571429,0.7529411764705882,0.904,21
BREAST,210,0.85,S1,0.9015529411764706,0.8238095238095238,0.8470588235294118,0.808,13
BREAST,210,0.85,S2,0.9015529411764706,0.8380952380952381,0.7647058823529411,0.888,20
BREAST,210,0.85,S3,0.9228235294117647,0.8380952380952381,0.8588235294117647,0.824,12
BREAST,210,0.85,S4,0.9228235294117647,0.8476190476190476,0.8705882352941177,0.832,11
BREAST,210,0.88,S1,0.9015529411764706,0.8238095238095238,0.8823529411764706,0.784,10
BREAST,210,0.88,S2,0.9015529411764706,0.8476190476190476,0.8823529411764706,0.824,10
BREAST,210,0.88,S3,0.9228235294117647,0.8380952380952381,0.8588235294117647,0.824,12
BREAST,210,0.88,S4,0.9228235294117647,0.8380952380952381,0.8705882352941177,0.816,11
BREAST,210,0.9,S1,0.9015529411764706,0.7857142857142857,0.8941176470588236,0.712,9
BREAST,210,0.9,S2,0.9015529411764706,0.8476190476190476,0.8823529411764706,0.824,10
BREAST,210,0.9,S3,0.9228235294117647,0.8380952380952381,0.8705882352941177,0.816,11
BREAST,210,0.9,S4,0.9228235294117647,0.8380952380952381,0.8705882352941177,0.816,11
BREAST,210,0.92,S1,0.9015529411764706,0.780952380952381,0.9058823529411765,0.696,8
BREAST,210,0.92,S2,0.9015529411764706,0.8238095238095238,0.8941176470588236,0.776,9
BREAST,210,0.92,S3,0.9228235294117647,0.8333333333333334,0.9058823529411765,0.784,8
BREAST,210,0.92,S4,0.9228235294117647,0.8095238095238095,0.9058823529411765,0.744,8
BREAST,210,0.95,S1,0.9015529411764706,0.7095238095238096,0.9529411764705882,0.544,4
BREAST,210,0.95,S2,0.9015529411764706,0.8047619047619048,0.9294117647058824,0.72,6
BREAST,210,0.95,S3,0.9228235294117647,0.8095238095238095,0.9529411764705882,0.712,4
