thr,TN,FP,FN,TP,recall,spec,prec,npv,acc,bal,f1
0.05,2,229,0,147,1.0,0.008658008658008658,0.39095744680851063,1.0,0.3941798941798942,0.5043290043290043,0.5621414913957935
0.055,2,229,0,147,1.0,0.008658008658008658,0.39095744680851063,1.0,0.3941798941798942,0.5043290043290043,0.5621414913957935
0.06,4,227,0,147,1.0,0.017316017316017316,0.393048128342246,1.0,0.3994708994708995,0.5086580086580087,0.564299424184261
0.065,4,227,0,147,1.0,0.017316017316017316,0.393048128342246,1.0,0.3994708994708995,0.5086580086580087,0.564299424184261
0.07,4,227,0,147,1.0,0.017316017316017316,0.393048128342246,1.0,0.3994708994708995,0.5086580086580087,0.564299424184261
0.075,4,227,0,147,1.0,0.017316017316017316,0.393048128342246,1.0,0.3994708994708995,0.5086580086580087,0.564299424184261
0.08,5,226,0,147,1.0,0.021645021645021644,0.3941018766756032,1.0,0.4021164021164021,0.5108225108225108,0.5653846153846154
0.08499999999999999,6,225,0,147,1.0,0.025974025974025976,0.3951612903225806,1.0,0.40476190476190477,0.512987012987013,0.5664739884393064
0.09,8,223,0,147,1.0,0.03463203463203463,0.3972972972972973,1.0,0.41005291005291006,0.5173160173160173,0.5686653771760155
0.095,9,222,0,147,1.0,0.03896103896103896,0.3983739837398374,1.0,0.4126984126984127,0.5194805194805194,0.5697674418604651
0.09999999999999999,9,222,1,146,0.9931972789115646,0.03896103896103896,0.3967391304347826,0.9,0.41005291005291006,0.5160791589363017,0.566990291262136
0.105,9,222,1,146,0.9931972789115646,0.03896103896103896,0.3967391304347826,0.9,0.41005291005291006,0.5160791589363017,0.566990291262136
0.10999999999999999,9,222,1,146,0.9931972789115646,0.03896103896103896,0.3967391304347826,0.9,0.41005291005291006,0.5160791589363017,0.566990291262136
0.11499999999999999,10,221,1,146,0.9931972789115646,0.04329004329004329,0.3978201634877384,0.9090909090909091,0.4126984126984127,0.518243661100804,0.5680933852140078
0.12,12,219,1,146,0.9931972789115646,0.05194805194805195,0.4,0.9230769230769231,0.41798941798941797,0.5225726654298083,0.5703125
0.12499999999999999,12,219,1,146,0.9931972789115646,0.05194805194805195,0.4,0.9230769230769231,0.41798941798941797,0.5225726654298083,0.5703125
0.13,16,215,1,146,0.9931972789115646,0.06926406926406926,0.40443213296398894,0.9411764705882353,0.42857142857142855,0.531230674087817,0.5748031496062992
0.135,19,212,1,146,0.9931972789115646,0.08225108225108226,0.40782122905027934,0.95,0.4365079365079365,0.5377241805813234,0.5782178217821782
0.13999999999999999,21,210,2,145,0.9863945578231292,0.09090909090909091,0.4084507042253521,0.9130434782608695,0.43915343915343913,0.53865182436611,0.5776892430278885
0.145,23,208,2,145,0.9863945578231292,0.09956709956709957,0.41076487252124644,0.92,0.4444444444444444,0.5429808286951144,0.58
0.14999999999999997,24,207,2,145,0.9863945578231292,0.1038961038961039,0.4119318181818182,0.9230769230769231,0.4470899470899471,0.5451453308596166,0.5811623246492986
0.15499999999999997,31,200,2,145,0.9863945578231292,0.1341991341991342,0.42028985507246375,0.9393939393939394,0.4656084656084656,0.5602968460111317,0.5894308943089431
0.15999999999999998,32,199,2,145,0.9863945578231292,0.13852813852813853,0.42151162790697677,0.9411764705882353,0.46825396825396826,0.5624613481756339,0.5906313645621182
0.16499999999999998,34,197,2,145,0.9863945578231292,0.1471861471861472,0.4239766081871345,0.9444444444444444,0.47354497354497355,0.5667903525046383,0.5930470347648262
0.16999999999999998,36,195,2,145,0.9863945578231292,0.15584415584415584,0.4264705882352941,0.9473684210526315,0.47883597883597884,0.5711193568336426,0.5954825462012321
