level,n,floor,global_acc,bir_acc,gain,sens_global,sens_bir,miss_global,miss_bir
ROI,378,0.7,81.74603174603175,82.01058201058201,0.2645502645502673,0.7551020408163265,0.8299319727891157,36,25
ROI,378,0.75,81.74603174603175,83.06878306878306,1.3227513227513255,0.7551020408163265,0.782312925170068,36,32
ROI,378,0.8,80.15873015873017,81.74603174603175,1.5873015873015817,0.8231292517006803,0.8367346938775511,26,24
ROI,378,0.85,79.36507936507937,81.74603174603175,2.3809523809523836,0.8231292517006803,0.8367346938775511,26,24
ROI,378,0.9,75.66137566137566,80.95238095238095,5.291005291005291,0.8843537414965986,0.8775510204081632,17,18
ROI,378,0.95,65.34391534391534,73.54497354497354,8.201058201058197,0.9591836734693877,0.9523809523809523,6,7
LESION,223,0.7,85.20179372197309,85.20179372197309,0.0,0.8160919540229885,0.7816091954022989,16,19
LESION,223,0.75,85.20179372197309,85.20179372197309,0.0,0.8160919540229885,0.7816091954022989,16,19
LESION,223,0.8,85.20179372197309,85.20179372197309,0.0,0.8160919540229885,0.7816091954022989,16,19
LESION,223,0.85,82.0627802690583,85.20179372197309,3.139013452914796,0.8390804597701149,0.7816091954022989,14,19
LESION,223,0.9,79.82062780269058,85.65022421524664,5.829596412556059,0.8735632183908046,0.8850574712643678,11,10
LESION,223,0.95,69.95515695067265,78.47533632286996,8.520179372197312,0.9540229885057471,0.9540229885057471,4,4
BREAST,210,0.7,82.38095238095238,83.80952380952381,1.4285714285714346,0.8352941176470589,0.7647058823529411,14,20
BREAST,210,0.75,82.38095238095238,83.80952380952381,1.4285714285714346,0.8352941176470589,0.7647058823529411,14,20
BREAST,210,0.8,82.38095238095238,83.80952380952381,1.4285714285714346,0.8352941176470589,0.7647058823529411,14,20
BREAST,210,0.85,82.38095238095238,83.80952380952381,1.4285714285714346,0.8470588235294118,0.7647058823529411,13,20
BREAST,210,0.9,78.57142857142857,84.76190476190476,6.190476190476191,0.8941176470588236,0.8823529411764706,9,10
BREAST,210,0.95,70.95238095238095,80.47619047619048,9.523809523809524,0.9529411764705882,0.9294117647058824,4,6
PATIENT,201,0.7,82.08955223880598,84.5771144278607,2.487562189054726,0.8352941176470589,0.8352941176470589,14,14
PATIENT,201,0.75,82.08955223880598,84.5771144278607,2.487562189054726,0.8352941176470589,0.8352941176470589,14,14
PATIENT,201,0.8,82.08955223880598,84.5771144278607,2.487562189054726,0.8352941176470589,0.8352941176470589,14,14
PATIENT,201,0.85,82.58706467661692,84.5771144278607,1.9900497512437831,0.8823529411764706,0.8352941176470589,10,14
PATIENT,201,0.9,79.1044776119403,85.07462686567165,5.97014925373135,0.8941176470588236,0.8823529411764706,9,10
PATIENT,201,0.95,69.65174129353234,80.59701492537313,10.945273631840791,0.9529411764705882,0.9294117647058824,4,6
